videoid;titulo;data;dia_semana;intervalo;duracao;views;curtidas;nao_curtidas;comentarios
130;UNBOXING | MIXTURE BOX 09 (JUNHO 2017) - THE MASTERS;30/06/2017;Sexta-Feira;2;11:13;37038;4150;27;187
131;NERD AO CUBO | CAIXA 26 - AVENTURA (JUNHO 2017);03/07/2017;Segunda-Feira;3;11:11;51171;5173;42;192
132;HOMEM-ARANHA 2017 | REVIEW (SEM SPOILERS);08/07/2017;Sábado;5;12:51;70988;9975;57;485
133;O ÚLTIMO EPISÓDIO DE CAVERNA DO DRAGÃO;16/07/2017;Domingo;8;03:43;76172;13979;79;408
134;GAME OF THRONES | TEMPORADA 07 EPISÓDIO 01 (REVIEW);17/07/2017;Segunda-Feira;1;09:57;23657;3541;21;190
135;MIXTURE BOX 10 | FROM HELL (JULHO 2017);22/07/2017;Sábado;5;09:54;33020;4304;41;240
136;TRANSFORMERS 5 - O ÚLTIMO CAVALEIRO (REVIEW);24/07/2017;Segunda-Feira;2;09:43;132837;15388;246;1198
137;GAME OF THRONES | TEMPORADA 07 EPISÓDIO 02 (REVIEW);24/07/2017;Segunda-Feira;0;08:53;17678;2704;12;151
138;LIGA DA JUSTIÇA TRAILER 3 | REVIEW;25/07/2017;Terça-Feira;1;14:30;84183;11198;132;874
139;GAME OF THRONES | TEMPORADA 07 EPISÓDIO 03 (REVIEW);01/08/2017;Terça-Feira;7;09:51;18467;3213;26;218
140;THOR RAGNAROK TRAILER | CONSIDERAÇÕES E BILL RAIO BETA;03/08/2017;Quinta-Feira;2;13:35;83830;11473;68;362
141;GAME OF THRONES | EPISÓDIO 04 TEMPORADA 07 (REVIEW);07/08/2017;Segunda-Feira;4;10:54;25760;4533;24;317
142;NERD AO CUBO | CAIXA 27 - FANTASIA (JULHO 2017);08/08/2017;Terça-Feira;1;09:33;37485;4463;24;142
143;PLANETA DOS MACACOS - A GUERRA | REVIEW (SEM SPOILERS);12/08/2017;Sábado;4;10:45;31732;5061;29;199
